slug,image_file,name_he,name_en,category,brand,target_audience,price,stock_quantity,description,health_goals,dosage_form,package_quantity,usage_instructions,warnings_allergens,allergen_info_incomplete,data_source,verified,notes,is_active
solgar-omega-3,אומגה 3 של חברת סולגאר.jpg,אומגה 3,Omega 3,אומגה ושומנים,סולגאר,,94.90,60,"קפסולות אומגה 3 מרוכזות המכילות EPA ו-DHA, מיוצר על ידי סולגאר.",לב וכלי דם|מוח וזיכרון,כמוסות,100,"קפסולה אחת, פעמיים ביום, רצוי עם ארוחה, לפי הנחיית היצרן.","מכיל דגים (אנשובי, סרדין, מקרל). ללא גלוטן, חיטה, שמרים, סוכר, מלח, צבעים/טעמים/משמרים/ממתיקים מלאכותיים.",,https://www.solgar.com/products/solgar-triple-strength-omega-3-950-mg-softgels,yes,"CORRECTED 2026-08-02: the sourced data_source was the WRONG SKU. Session-17 verification against the physical package photo (assets/products/אומגה 3 של חברת סולגאר.jpg) found the label reads 'Once A Day!' / אומגה 3 '950' / OMEGA 3 '950' / 100 כמוסות רכות -- not the 700mg 'Double Strength' product originally sourced (which is dosed 3x/day in 60- or 120-count bottles, neither matching the label). User-approved (AskUserQuestion) re-sourcing to the correct official page, live-fetched via real Chrome tab (WebFetch 403s on solgar.com): Solgar Triple Strength Omega-3 950mg Softgels, https://www.solgar.com/products/solgar-triple-strength-omega-3-950-mg-softgels. package_quantity=100 confirmed both by the label's printed count AND the official page (Size: 100, UPC 033984020580 -- 50-count is the other SKU size, UPC 033984020573, not this bottle). usage_instructions corrected to 'one softgel twice daily' (page's actual suggested use; note the front label's 'Once A Day!' is a marketing tagline, not the supplement-facts serving instruction -- the page is the authoritative source per DEC-026). warnings_allergens updated: ingredients Fish Oil/Gelatin/Vegetable Glycerin/Natural Mixed Tocopherols, contains fish (anchovy, sardine, mackerel), free of gluten/wheat/yeast/sugar/salt/artificial flavors/sweeteners/preservatives/colors -- all verbatim from the page. EPA/DHA amounts updated in ingredients.csv to 504mg/378mg (was 360/240, the wrong SKU's values). Every accurate-tier field now source-confirmed against the correct product -- verified set to yes. name_he/name_en/description were NOT updated to reflect the '950'/'Triple Strength' branding -- out of scope for this pass (accurate-tier fields only); still says generic 'אומגה 3'/'Omega 3', which remains technically true but not the most specific name. Flagged as a follow-up, not blocking. | 2026-08-12 CLOSED to verified=yes under DEC-032 THE NEW BAR. 🔴 NO RE-SOURCING WAS DONE OR NEEDED. The blocker was the PRICE, and under the new bar the price is OURS — VitaShop is the retailer, so it is attributed to no source and the ""no admissible price source exists"" problem that demoted this row simply stops applying. The kept value is a retailer price of ours, plausible against the rest of the catalogue; it is NOT a claim about what any other shop charges. Medical fields are OPTIONAL under the new bar and are left exactly as they are — blank where blank. Blank is the correct state, not a gap. 🔴 The one surviving rule still binds: nothing here is invented or inferred.",yes
briamil-multi-chewable,בריאמיל מולטי ויטמיל ללעיסה.jpg,בריאמיל מולטי ויטמין ללעיסה,Briamil Chewable Multivitamin,ויטמינים,טרו פור מי,מבוגרים,166.00,30,"טבליות מולטי ויטמין לעיסות, מיועדות לאוכלוסייה שעברה ניתוח בריאטרי, בהתאם להנחיית גורם מטפל.",חיזוק חיסון|עצמות,טבליות,60,"טבליה אחת ליום, סמוך לארוחה, אלא אם הוגדר אחרת על ידי רופא או דיאטנית.","ללא גלוטן וללא גלוקוז. מיועד לאוכלוסייה שעברה ניתוח בריאטרי, לשימוש לפני ואחרי הפרוצדורה. נשים בהיריון, מניקות, נוטלי תרופות מרשם וילדים - יש להיוועץ ברופא. יש להרחיק מהישג ידם של ילדים.",,https://truforme.com/product/%D7%91%D7%A8%D7%99%D7%90%D7%9E%D7%99%D7%9C-%D7%9C%D7%9C%D7%A2%D7%99%D7%A1%D7%94/,yes,"CORRECTED 2026-08-02: target_audience was ילדים (children), user-approved correction to מבוגרים (adults) -- real product targets post-bariatric-surgery adults per the manufacturer page; מבוגרים is an existing schema-approved enum value, no schema change. Bariatric-population disclosure kept in warnings_allergens per DEC-031. Full ingredient amount table not published online -- still needs a package photo. | 2026-08-12 BRAND CORRECTED בריאמיל -> טרו פור מי, per DEC-032 ""BRAND = MANUFACTURER, NOT PRODUCT LINE"". בריאמיל is a product LINE of TruForMe (truforme.com), and this row was the file's SINGLE outlier: 30 rows say אלטמן and 5 say סופהרב, both manufacturers spanning many lines. The line name is unchanged in name_he/name_en, where it already lived, so nothing a shopper reads changes. 🔴 The decisive reason is not tidiness: counting product lines as brands would let ONE manufacturer supply five ""brands"" and make the brand-diversity metric meaningless.",yes
britamin-multi-minerals,בריטמין מולטי ויטמינים ומינרלים.jpg,בריטמין מולטי ויטמינים ומינרלים,Britamin Multivitamin & Minerals,ויטמינים,בריטמין,,109.90,25,"תוסף מולטי ויטמינים ומינרלים המיועד לאוכלוסייה שעברה ניתוח בריאטרי, מכיל ריכוזים מותאמים של ברזל, סידן וויטמין D.",חיזוק חיסון|עצמות,טבליות,60,המינון המומלץ בהעדר הנחיה רפואית הוא טבליה אחת ביום. יש ליטול עם מעט מים; ניתן לרסק ולערבב עם מזון אם קיים קושי בבליעה.,"מיועד במיוחד לאוכלוסייה שעברה ניתוח בריאטרי, עם ריכוזים מותאמים של ברזל, סידן וויטמין D. אינו מיועד לילדים ללא הנחיית רופא. נשים בהיריון, מניקות ונוטלי תרופות מרשם - יש להיוועץ ברופא לפני השימוש.",,https://meditec.co.il/product/britamin/,yes,"Full active-ingredient amount table is published only as an image on the manufacturer page -- could not extract text. Needs a package photo for ingredients.csv. | 2026-08-12 CLOSED to verified=yes under DEC-032 THE NEW BAR. 🔴 NO RE-SOURCING WAS DONE OR NEEDED. The blocker was the PRICE, and under the new bar the price is OURS — VitaShop is the retailer, so it is attributed to no source and the ""no admissible price source exists"" problem that demoted this row simply stops applying. The kept value is a retailer price of ours, plausible against the rest of the catalogue; it is NOT a claim about what any other shop charges. Medical fields are OPTIONAL under the new bar and are left exactly as they are — blank where blank. Blank is the correct state, not a gap. 🔴 The one surviving rule still binds: nothing here is invented or inferred.",yes
solgar-vitamin-c-berry,ויטמין C בטעם פטל חמוציות של חברת סולגאר.jpg,ויטמין C בטעם פטל חמוציות,Vitamin C Raspberry Cranberry,ויטמינים,סולגאר,,69.90,80,"טבליות מציצה בטעם פטל חמוציות המכילות ויטמין C, מיוצר על ידי סולגאר.",חיזוק חיסון,טבליות,90,"ללעוס טבליה אחת, עד פעמיים ביום, רצוי עם ארוחה, לפי הנחיית היצרן.","ללא גלוטן, חיטה, מוצרי חלב, שמרים, טעמים מלאכותיים ומשמרים.",,https://www.solgar.com/products/vitamin-c-500-mg-chewable-tablets-cran-raspberry-flavor,yes,"VERIFICATION PASS 2026-08-02: live-fetched via real Chrome tab (WebFetch returns 403 on solgar.com). CONFIRMED exact match: dosage_form (chewable tablets = טבליות), package_quantity=90 (only size sold -- single UPC, page states 'Size: 90'), usage_instructions verbatim ('chew one (1) tablet up to two times daily, preferably with a meal, or as directed by a healthcare practitioner'), active ingredients Vitamin C 500mg + Acerola Extract 10mg + Rose Hips 4mg (matches ingredients.csv exactly), data_source URL live and correct. CORRECTED: removed the unsupported 'ללא ... סויה' (soy-free) claim from warnings_allergens -- the official page's 'Free of' list states only Gluten, Wheat, Yeast, Artificial Flavors, Artificial Preservatives; dairy-free is separately confirmed via the page's own DAIRY-FREE badge (kept as 'מוצרי חלב' in the field); soy-free is not stated anywhere on the page (no badge, not in the Free-of list) so it was dropped, not replaced with anything else. Every remaining claim in warnings_allergens is now source-confirmed. All accurate-tier fields confirmed -- verified set to yes. | 2026-08-12 CLOSED to verified=yes under DEC-032 THE NEW BAR. 🔴 NO RE-SOURCING WAS DONE OR NEEDED. The blocker was the PRICE, and under the new bar the price is OURS — VitaShop is the retailer, so it is attributed to no source and the ""no admissible price source exists"" problem that demoted this row simply stops applying. The kept value is a retailer price of ours, plausible against the rest of the catalogue; it is NOT a claim about what any other shop charges. Medical fields are OPTIONAL under the new bar and are left exactly as they are — blank where blank. Blank is the correct state, not a gap. 🔴 The one surviving rule still binds: nothing here is invented or inferred.",yes
solgar-gentle-iron-25,טבליות ברזל עדין 25 מג של חברת סולגאר.jpg,"ברזל עדין 25 מ""ג",Gentle Iron 25mg,מינרלים,סולגאר,,74.90,55,"טבליות ברזל עדין במינון 25 מ""ג, מיוצר על ידי סולגאר.",אנרגיה,כמוסות,90,"קפסולה ירקית אחת ליום, רצוי בארוחה, לפי הנחיית היצרן.","ללא גלוטן, ללא מוצרי חלב. לא פורסמה רשימת אלרגנים מלאה בעמוד הרשמי -- יש לאמת מול תווית האריזה.",,https://www.solgar.com/products/gentle-iron-vegetable-capsules,yes,"RE-SOURCED 2026-08-10: found the official Solgar page (exact SKU, 90/180-capsule variant selector, same pattern as omega-3/cal-mag-d3), replacing the iHerb distributor-only source. Badges confirmed: Non-GMO, Vegan, Gluten-Free, Dairy-Free, Kosher. warnings_allergens updated to the confirmed badge list, no allergen claim invented. Cross-checked against the package photo (90 capsules, Gentle Iron 25mg). verified set to yes. | CORRECTED 2026-08-10: warnings_allergens narrowed -- removed Non-GMO, Vegan and Kosher, which are certifications/marketing badges, not warnings or allergen information, and the field's contract does not cover certifications. Kept Gluten-Free and Dairy-Free, both allergen-relevant free-from declarations confirmed on the official page. verified stays yes -- every accurate-tier field (package_quantity, dosage_form, usage_instructions, active_ingredients, and this narrowed warnings_allergens) remains source-confirmed against the exact-SKU official page and the package photo; the verified=yes standard requires accurate populated fields, not an exhaustive badge list. | 2026-08-12 CLOSED to verified=yes under DEC-032 THE NEW BAR. 🔴 NO RE-SOURCING WAS DONE OR NEEDED. The blocker was the PRICE, and under the new bar the price is OURS — VitaShop is the retailer, so it is attributed to no source and the ""no admissible price source exists"" problem that demoted this row simply stops applying. The kept value is a retailer price of ours, plausible against the rest of the catalogue; it is NOT a claim about what any other shop charges. Medical fields are OPTIONAL under the new bar and are left exactly as they are — blank where blank. Blank is the correct state, not a gap. 🔴 The one surviving rule still binds: nothing here is invented or inferred.",yes
superherb-vitamin-d,טבליות ויטמין D של חברת סופרהרב.jpg,"ויטמין D במינון 1,000 יחב""ל",Vitamin D 1000 IU,ויטמינים,סופהרב,,90.67,100,"ויטמין D בצורתו הפעילה D3, בכמוסות סופט ג'ל רכות, בתוספת MCT לשיפור הספיגה. מיוצר על ידי סופרהרב.",עצמות|חיזוק חיסון,כמוסות,180,כמוסה אחת ביום (או על פי המלצת הרופא) עם הארוחה.,"יש לאחסן במקום קריר ויבש, אין צורך לשמור בקירור. רשימת אלרגנים מלאה אינה מפורסמת בעמוד הרשמי -- יש לאמת מול תווית האריזה.",,https://www.supherb.co.il/product/ויטמין-d-במינון-1000-יחבל/,yes,"VERIFICATION PASS 2026-08-02: inspected assets/products/טבליות ויטמין D של חברת סופרהרב.jpg -- both the box and bottle label read '180 כמוסות'. CORRECTED package_quantity 90 -> 180: the official page (re-fetched live, real Chrome tab) sells this exact same product/page in two size variants via a selector ('90 כמוסות' / '180 כמוסות'), so 180 is a valid, source-confirmed variant of the SAME SKU, not a different product -- unlike the omega-3/b12 wrong-SKU cases. dosage_form (כמוסות רכות), usage_instructions ('כמוסה אחת ביום (או על פי המלצת הרופא) עם הארוחה.' + storage line), and the ingredient row (Vitamin D3 1000 IU) all re-confirmed verbatim against the live page -- no change needed there. warnings_allergens correctly makes no allergen-free claim -- it states the page publishes no allergen list, which is true, not blocking per the incomplete-list-is-acceptable rule. Every populated accurate-tier field now source-confirmed. verified set to yes.",yes
ecosupp-iron-drops-c,טיפות ברזל עדין בתוספת ויטמין C של חברת ECOSUPP.jpg,טיפות ברזל עדין בתוספת ויטמין C,Gentle Iron Drops with Vitamin C,מינרלים,ECOSUPP,,119.90,40,"טיפות ברזל עדין בתוספת ויטמין C, מיוצר על ידי ECOSUPP.",אנרגיה,טיפות,60,"מזלף מלא (20 טיפות) שווה ל-15 מ""ג ברזל; המינון לפי גיל, בהתאם להנחיית היצרן על גבי האריזה.","ללא סוכר, ללא חומרים משמרים, ללא ממתיקים מלאכותיים. יש לעקוב אחר מינון בהתאם לגיל המצוין.",yes,https://ecosupp.co.il/product/iron-max-%D7%91%D7%A8%D7%96%D7%9C-%D7%A0%D7%95%D7%96%D7%9C%D7%99-%D7%91%D7%A1%D7%A4%D7%99%D7%92%D7%94-%D7%92%D7%91%D7%95%D7%94%D7%94/,yes,"CONFIRMED 2026-08-02: package_quantity=60 is the bottle volume in ml, not a discrete unit count -- confirmed via two authorised-distributor listings (tevazol.co.il, nizat.com), both stating 'מכיל 60 מ""ל' / 'ברזל עדין 60 מ""ל', since the official manufacturer page blocks automated fetch (403). No conversion to drops/servings applied -- usage_instructions already states the dropper-to-mg dosing separately. Primary data_source kept as the official page per DEC-026 tier rule; distributor URLs used only to confirm the volume figure. READINESS 2026-08-02: reclassified Yes -> Partial -- only the ml figure has confirmed-distributor backing; usage_instructions/warnings_allergens/active_ingredient amount are attributed to the official page, which could not be re-fetched to re-confirm access (403). A general retailer page alone is not sufficient to mark Ready. | 2026-08-10: original data_source URL (ecosupp.co.il/ironlp/) is dead; replaced with the current live official product page (""IRON MAX""), confirmed 60ml bottle and 15mg iron bisglycinate per dose match. NOT changed: usage_instructions still cites age-based dosing from the old source, while the new page's text describes a fixed twice-daily adult dose -- this conflict is unresolved, left untouched pending a check of the physical back-label, per the no-silent-fix rule. Stays Partial. | 2026-08-12 (MILESTONE-004 Part 4, step 1): page RENDERED with playwright-cli, not read from raw HTML. PRICE CORRECTED 59.90 -> 119.90. The manufacturer's own exact-SKU page states מארז יחיד ₪119.90; cross-checked by DEC-032 arithmetic -- the 2-pack lists ₪239.80 = 2 x 119.90 struck through to a promotional ₪199.80 (₪99.90/unit) and the 3-pack ₪359.70 = 3 x 119.90 -> ₪299.70, so 119.90 is the LIST unit price and 99.90 is a multi-pack promotion, recorded here and NOT used as the price. The old 59.90 had no source (ISSUE-060 signature: a .90 ending the cited page contradicts). SKU CONFIRMED: the page's official label image (260125_60ml_115x50_IRON-MAX...) reads IRON MAX / ברזל עדין בתוספת ויטמין C / 60 מ""ל, matching the repository package photo and this row's name_he and package_quantity exactly. DOSING CONFLICT RESOLVED: the current page's הוראות שימוש tab states the age-based table in full (10 drops = 7.5mg for 4-6 months; 20 drops = 15mg once daily to age 15; 20 drops twice daily from 15), so usage_instructions as written is source-backed and the 2026-08-10 conflict note above is closed. 🔴 STILL PARTIAL, AND THE REASON IS NOW ONLY warnings_allergens: the page publishes no allergen declaration. Its יתרונות section states 'ללא סוכר/ ממתיקים מלאכותיים/ חומרים משמרים ו/או שאר אלרגניים', which is a sweeping marketing claim of the same class as the 'היפואלרגני' DEC-032 already rejected for this site, not a per-substance declaration like moraz's 'ללא גלוטן. ללא אלכוהול.'; the QA accordion states only what ECOSUPP TESTS FOR. The label image carries no allergen panel. This row's trailing clause 'לא אותר מידע נוסף על אלרגנים בעמוד הרשמי' IS the third state PROPOSED in DEC-032 and NOT accepted, so promoting this row would adopt that proposal by the back door. Left exactly as it is, gated on the user's decision. | 2026-08-12 (DEC-032 DECISION B condition 4): migrated off the informal prose form. The clause ""לא אותר מידע נוסף על אלרגנים בעמוד הרשמי"" is REMOVED from warnings_allergens and replaced by allergen_info_incomplete=yes. The page-sourced text is KEPT; note that the free-from line is a marketing claim from the יתרונות section, not a per-substance declaration, which is why the flag is set. | 2026-08-12 CLOSED to verified=yes under DEC-032 DECISION B (cohort B). RE-SOURCED, not rubber-stamped, against the LIVE RENDERED page: price 119.90 confirmed and arithmetic-cross-checked; SKU confirmed against the official label image (IRON MAX / ברזל עדין בתוספת ויטמין C / 60 מ""ל) and the repository package photo; usage_instructions confirmed against the page's full age table. INGREDIENTS CORRECTED IN THE SAME PASS, and this is why a completeness check would have missed it: the row carried iron 15 mg with NO vitamin C at all, in a product whose own NAME is ""with vitamin C"". The label declares per its stated serving of 2 מ""ל: ברזל 30 מ""ג and ויטמין C 80 מ""ג. The 15 mg was the 1 מ""ל figure, a different basis from the manufacturer's declaration. Both rows now cite the label serving. allergen_info_incomplete=yes: the page publishes no per-substance declaration (the QA accordion states what ECOSUPP TESTS FOR; the יתרונות free-from line is a marketing claim), and the label image has no allergen panel. target_audience left EMPTY - the page states ""suitable from 4 months"" but the closed list is still TBD (DEC-024 open item 2) and inferring a value is not permitted.",yes
superherb-magnesium-max-550,מגנזיות מקס 550 של חברת סופרהרב.jpg,מגנזיום מקס 550,Magnesium Max 550,מינרלים,סופהרב,,84.70,50,"קומפלקס מגנזיום ציטראט ואוקסיד במינון גבוה, בכמוסות צמחיות, כשר בהשגחת בד""ץ העדה החרדית. מיוצר על ידי סופרהרב.",שינה|ספורט,כמוסות,60,כמוסה אחת ביום.,"נשים בהריון, נשים מניקות, אנשים הנוטלים תרופות מרשם וילדים — יש להיוועץ ברופא. אין לעבור את המנה היומית המומלצת. יש להרחיק מהישג ידם של ילדים. האריזה מכילה סופג לחות וצמר גפן — לא לבליעה, השגחת מבוגר מומלצת.",yes,https://www.supherb.co.il/product/מגנזיום-max-550/,yes,"VERIFICATION PASS 2026-08-02: inspected assets/products/מגנזיות מקס 550 של חברת סופרהרב.jpg -- label reads 'מגנזיות מקס 550', 60 כמוסות, 68.1 גר -- matches package_quantity=60 exactly. Re-fetched the official page live (real Chrome tab, WebFetch 403s on supherb.co.il): confirms 550mg magnesium (citrate + oxide complex), 'כמות באריזה: 60 כמוסות', 'בכמוסה אחת ביום', vegetable capsules, kosher badatz. dosage_form, package_quantity, usage_instructions, and the ingredient row (Magnesium complex 550mg) all source-confirmed against both the label and the live page -- no discrepancy. warnings_allergens correctly does NOT claim an allergen-free list; it truthfully states the page's own referral to the physical label for allergen marking, per the new-EU-labeling note on the page itself. Per the no-complete-allergen-list-required rule, this does not block verification -- every populated field is supported. verified set to yes. | 2026-08-12 AUDIT (MILESTONE-004 Part 4). The last original-fifteen row still verified=yes that no repair report had checked. Page RENDERED with playwright-cli (a browser User-Agent is required; supherb returns 403 to a default headless UA). PRICE CORRECTED 84.90 -> 84.70. The page states ₪84.7 with no sale markup (no <del>/<ins>, .onsale false). The row's 84.90 matched nothing on the page — the fifth original-cohort price audited and the fifth to depart from .90. 🔴 PER-UNIT CROSS-CHECK NOT CONSTRUCTIBLE, stated rather than faked: Supherb sells MAX 550 in ONE pack size, so DEC-032's arithmetic check against another size of the same product has no second term. The related magnesium items on the page are different formulations, not pack sizes, and were NOT used as a substitute. SKU CONFIRMED against the official label image (LABEL_Magnesium_MAX_550_web-2.jpg): 60 כמוסות / 60 Capsules, משקל נקי 68.1 גר', matching package_quantity=60 and the repository package photo. ✅ INGREDIENTS HELD UP — the first audited row where they did. The label declares מגנזיום 550 מ""ג (146.6% NRV) as magnesium oxide + citrate per capsule, exactly the existing ingredient row, and הוראות שימוש: כמוסה אחת ביום matches usage_instructions. 🔴 warnings_allergens REPLACED. It previously held ONLY a pointer (""יש לבדוק סימון אלרגנים בתווית... רשימת אלרגנים מלאה אינה מפורסמת בעמוד עצמו"") — the state DEC-032 explicitly REJECTED, live in a seeded row, and it carried NO actual warnings at all. The label states real ones (pregnancy/nursing/prescription medication/children -> consult a doctor; do not exceed the daily dose; keep from children; the pack contains a desiccant and cotton wool, not for swallowing) and those are now the field. allergen_info_incomplete=yes: the label itself only says ""שימו לב, סימון אלרגנים על פי תקינה חדשה"" — a pointer to the marking standard, not a declaration — and the page publishes none either.",yes
solgar-b12,סולגר טבליות ויטמין B12.jpg,"ויטמין B12 לבליעה במינון 100 מק""ג",Vitamin B12 100 mcg (Swallow Tablets),ויטמינים,סולגאר,,64.90,70,"טבליות ויטמין B12 לבליעה, מיוצר על ידי סולגאר.",אנרגיה,טבליות,100,"טבליה אחת ביום, עם הארוחה.",כשר פרווה. Non-GMO. לא נוסה על בעלי חיים. מתאים לצמחונים וטבעונים. יש לאחסן במקום קריר ויבש. רשימת אלרגנים מלאה אינה מפורסמת בעמוד הרשמי.,,https://www.solgar.co.il/product/ויטמין-b12-100-מקג-לבליעה/,yes,"RE-SOURCED 2026-08-02 -- previous data_source was confirmed wrong-SKU (1,000mcg sublingual vs. this label's 100mcg swallow tablet, flagged in the prior pass). Found the exact matching product via WebSearch: 'ויטמין B12 לבליעה במינון 100 מק""ג', https://www.solgar.co.il/product/ויטמין-b12-100-מקג-לבליעה/ -- page confirms 100mcg, 'צורת הגשה: טבליות' (not sublingual), badges כשר פרווה/Non-GMO/not animal-tested/vegetarian-vegan-suitable, usage_instructions verbatim 'טבליה אחת ביום, עם הארוחה.' + storage line. dosage_form corrected טבליות (was already right, now for the right reason). name_he/name_en corrected from '1,000 מק""ג' to '100 מק""ג' -- the old name was factually wrong for this product, not just non-specific, so corrected rather than left as a follow-up (unlike the omega-3 950 case where the old generic name was still literally true). package_quantity=100 NOT stated in the official page's text -- confirmed instead directly from assets/products/סולגר טבליות ויטמין B12.jpg, whose label explicitly prints '100' with 'טבליות' beneath it (a physical package label is an accepted accurate-tier source per assets/README.md). ingredients.csv updated: Vitamin B12 1000mcg -> 100mcg, data_source updated to the new page. No allergen list published on the new page either -- warnings_allergens states the confirmed badges/storage instruction only, no allergen-free claim invented. Every populated field now source-confirmed against the correct product. verified set to yes. | 2026-08-12 CLOSED to verified=yes under DEC-032 THE NEW BAR. 🔴 NO RE-SOURCING WAS DONE OR NEEDED. The blocker was the PRICE, and under the new bar the price is OURS — VitaShop is the retailer, so it is attributed to no source and the ""no admissible price source exists"" problem that demoted this row simply stops applying. The kept value is a retailer price of ours, plausible against the rest of the catalogue; it is NOT a claim about what any other shop charges. Medical fields are OPTIONAL under the new bar and are left exactly as they are — blank where blank. Blank is the correct state, not a gap. 🔴 The one surviving rule still binds: nothing here is invented or inferred.",yes
solgar-cal-mag-d3,סולגר טבליות סידן ומגנזיום בתוספת ויטמין D3.jpg,סידן ומגנזיום בתוספת ויטמין D3,Calcium Magnesium with Vitamin D3,מינרלים,סולגאר,,79.90,65,"טבליות סידן ומגנזיום בתוספת ויטמין D3, מיוצר על ידי סולגאר.",עצמות,טבליות,150,"חמש טבליות ליום, רצוי עם ארוחה, ניתן לחלק במהלך היום, לפי הנחיית היצרן.","ללא רכיבים מהונדסים גנטית, גלוטן, חיטה, חלב, שמרים, סוכר, טעם או ממתיק מלאכותי. כשר (אישור KOF-K).",,https://www.solgar.com/products/calcium-magnesium-with-vitamin-d3-tablets,yes,"VERIFICATION PASS 2026-08-02: inspected assets/products/סולגר טבליות סידן ומגנזיום בתוספת ויטמין D3.jpg -- label reads '150 טבליות'; package_quantity=150 stays (confirmed prior pass, both label and official page's two distinct UPCs: Size 150 UPC 033984005181 vs Size 300 UPC 033984005198). usage_instructions and ingredient amounts (D3 10mcg/400IU, Calcium 1000mg citrate, Magnesium 500mg oxide/citrate, serving size 5 tablets) re-confirmed verbatim, match ingredients.csv exactly. CORRECTED warnings_allergens this pass: removed 'סויה' (soy-free) and 'כשר פרווה' (kosher pareve) -- neither supported by the official page (soy absent from the page's Free-of list and its NON-GMO/GLUTEN-FREE/DAIRY-FREE/KOSHER badges; the page's kosher reference is a KOF-K certification number, not a 'pareve' designation). Replaced with a generic 'כשר (אישור KOF-K)' claim that IS supported, rather than dropping kosher entirely -- the certification itself is real and cited, just not the more specific 'pareve' claim. Dairy-free ('חלב') kept -- confirmed via the page's own DAIRY-FREE badge. Every remaining populated field now source-confirmed. verified set to yes. | 2026-08-12 CLOSED to verified=yes under DEC-032 THE NEW BAR. 🔴 NO RE-SOURCING WAS DONE OR NEEDED. The blocker was the PRICE, and under the new bar the price is OURS — VitaShop is the retailer, so it is attributed to no source and the ""no admissible price source exists"" problem that demoted this row simply stops applying. The kept value is a retailer price of ours, plausible against the rest of the catalogue; it is NOT a claim about what any other shop charges. Medical fields are OPTIONAL under the new bar and are left exactly as they are — blank where blank. Blank is the correct state, not a gap. 🔴 The one surviving rule still binds: nothing here is invented or inferred.",yes
